XG,XD,XV,Terminated,Win
0.6570550767420875,0.8025238470206175,-0.45957892376270504,0,0
0.6909037445554056,0.6676552542938334,-0.35855899884923903,0,0
0.06765176088098279,0.17785112856709273,0.7544971105519245,0,0
0.16466726812626342,0.6666025443489405,0.16873018752479607,0,0
0.7109288587063689,0.7737436081486513,-0.4846724668550202,0,0
0.238298231414516,0.46208813029888585,0.29961363828659815,1,0
0.3589241547193145,0.6866734105474446,-0.045597565266759066,0,0
0.549971020403039,0.3567280429553997,0.09330093664156125,1,0
0.0485967991190428,0.6057708907519671,0.3456323101289901,0,0
0.3387342332353388,0.9034299747174099,-0.24216420795274873,0,0
0.6843217689719642,0.9283416646111118,-0.612663433583076,0,0
0.8653616442397447,0.4693751343256347,-0.3347367785653794,0,0
0.7474366712238371,0.4945016656296187,-0.24193833685345578,0,0
0.6292239269574841,0.060282159739544205,0.3104939133029717,1,0
0.7490973205426783,0.13656337346928626,0.11433930598803543,1,0
0.5022083010021213,0.6994961166629812,-0.2017044176651025,0,0
0.5455904032841189,0.6415884512283445,-0.1871788545124634,0,0
0.8246464872810734,0.6372512931463074,-0.4618977804273807,0,0
0.6974983909619411,0.26340997976617087,0.03909162927188803,1,0
0.06147454714137024,0.29802999498243576,0.640495457876194,0,0
0.8514890723783327,0.08103968307624942,0.06747124454541786,1,0
0.8029012471731187,0.8229333190453394,-0.6258345662184581,0,0
0.38432947923361216,0.3517342394386406,0.26393628132774727,1,0
0.6968062222402701,0.5631245607871037,-0.2599307830273738,0,0
0.6184323384845217,0.3446443544004435,0.036923307115034776,1,0
0.20163474438746032,0.84684290851798,-0.04847765290544037,0,0
0.45006768535942243,0.5268135916864422,0.023118722954135418,0,0
0.14970280724587037,0.3242470924032482,0.5260501003508814,0,0
0.723671908504931,0.9299809513655268,-0.6536528598704578,0,0
0.1772013170925627,0.9033054056535295,-0.08050672274609216,0,0
0.3527429526849005,0.9279625969302279,-0.2807055496151284,0,0
0.5532561337275652,0.7537833183964131,-0.3070394521239783,0,0
0.4950648802539199,0.8161313945562533,-0.3111962748101732,0,0
0.8452378231688099,0.260206590784942,-0.10544441395375193,0,0
0.5031664048910452,0.27431005518704576,0.22252353992190899,1,0
0.5992788978945885,0.06599856564957685,0.3347225364558346,1,0
0.27016738571388743,0.1677127347321471,0.5621198795539655,1,0
0.7075766360100687,0.6599311617589865,-0.3675077977690552,0,0
0.41930371066825833,0.041407553112406514,0.5392887362193352,0,0
0.5787921010235086,0.10029913645903854,0.3209087625174528,1,0
0.47100729778586126,0.8371617223273726,-0.3081690201132339,0,0
0.6063857809019616,0.25651455319911054,0.13709966589892786,1,0
0.9322458288961203,0.3574908707695851,-0.28973669966570537,0,0
0.6001771246825096,0.22422692675921319,0.1755959485582772,1,0
0.09612131346098818,0.4746079936727251,0.4292706928662867,0,0
0.4049307464186338,0.7772070196125241,-0.18213776603115794,0,0
0.29099559436694566,0.9129106892025215,-0.20390628356946716,0,0
0.32692144868225115,0.2553674818530195,0.41771106946472936,1,0
0.8134614945143995,0.24841749928492285,-0.06187899379932238,0,0
0.5176208292976301,0.101664047851591,0.3807151228507789,1,0
