Time treatment begin,Treatment total cost
154,5.026699999999999
155,5.026699999999999
156,5.026699999999999
157,4.9966
158,4.9966
159,4.9966
160,4.9966
161,4.9966
162,4.9966
163,4.9966
164,4.9966
165,4.9966
166,4.9966
167,4.9665
168,4.9665
169,4.9665
170,4.9665
171,4.9665
172,4.9665
173,4.9665
174,4.9665
175,4.9665
176,4.9364
177,4.9364
178,4.9364
179,4.9364
180,4.9364
181,4.9364
182,4.9364
183,4.9364
184,4.9364
185,4.9364
186,4.9063
187,4.9063
188,4.9063
189,4.9063
190,4.9063
191,4.9063
192,4.9063
193,4.9063
194,4.9063
195,4.8762
196,4.8762
197,4.8762
198,4.8762
199,4.8762
200,4.8762
201,4.8762
202,4.8762
203,4.8762
204,4.8762
205,4.8461
206,4.8461
207,4.8461
208,4.8461
209,4.8461
210,4.8461
211,4.8461
212,4.8461
213,4.8461
214,4.816
215,4.816
216,4.816
217,4.816
218,4.816
219,4.816
220,4.816
221,4.816
222,4.816
223,4.816
224,4.7859
225,4.7859
226,4.7859
227,4.7859
228,4.7859
229,4.7859
230,4.7859
231,4.7859
232,4.7859
233,4.7558
234,4.7558
235,4.7558
236,4.7558
237,4.7558
238,4.7558
239,4.7558
240,4.7558
241,4.7558
242,4.7257
243,4.7257
244,4.7257
245,4.7257
246,4.7257
247,4.7257
248,4.7257
249,4.7257
250,4.7257
251,4.7257
252,4.6956
253,4.6956
254,4.6956
255,4.6956
256,4.6956
257,4.6956
258,4.6956
259,4.6956
260,4.6956
261,4.6655
262,4.6655
263,4.6655
264,4.6655
265,4.6655
266,4.6655
267,4.6655
268,4.6655
269,4.6655
270,4.6354
271,4.6354
272,4.6354
273,4.6354
274,4.6354
275,4.6354
276,4.6354
277,4.6354
278,4.6354
279,4.6354
280,4.6053
281,4.6053
282,4.6053
283,4.6053
284,4.6053
285,4.6053
286,4.6053
287,4.6053
288,4.6053
289,4.5752
290,4.5752
291,4.5752
292,4.5752
293,4.5752
294,4.5752
295,4.5752
296,4.5752
297,4.5752
298,4.5451
299,4.5451
300,4.5451
301,4.5451
302,4.5451
303,4.5451
304,4.5451
305,4.5451
306,4.5451
307,4.515
308,4.515
309,4.515
310,4.515
311,4.515
312,4.515
313,4.515
314,4.515
315,4.515
316,4.515
317,4.4849
318,4.4849
319,4.4849
320,4.4849
321,4.4849
322,4.4849
323,4.4849
324,4.4849
325,4.4849
326,4.4548
327,4.4548
328,4.4548
329,4.4548
330,4.4548
331,4.4548
332,4.4548
333,4.4548
334,4.4548
335,4.4247
336,4.4247
337,4.4247
338,4.4247
339,4.4247
340,4.4247
341,4.4247
342,4.4247
343,4.4247
344,4.3946
345,4.3946
346,4.3946
347,4.3946
348,4.3946
349,4.3946
350,4.3946
351,4.3946
352,4.3946
353,4.3946
354,4.3645
355,4.3645
356,4.3645
357,4.3645
358,4.3645
359,4.3645
360,4.3645
361,4.3645
362,4.3645
363,4.3344
364,4.3344
365,4.3344
366,4.3344
