Time_injection,Win,terminated_arr
158000,1,1581.71
158001,1,1581.71
158002,1,1581.72
158003,1,1581.73
158004,1,1581.74
158005,1,1581.75
158006,1,1581.76
158007,1,1581.77
158008,1,1581.78
158009,1,1581.79
158010,1,1581.79
158011,1,1581.8
158012,1,1581.81
158013,1,1581.82
158014,1,1581.83
158015,1,1581.84
158016,1,1581.85
158017,1,1581.86
158018,1,1581.87
158019,1,1581.87
158020,1,1581.88
158021,1,1581.89
158022,1,1581.9
158023,1,1581.91
158024,1,1581.92
158025,1,1581.93
158026,1,1581.94
158027,1,1581.94
158028,1,1581.95
158029,1,1581.96
158030,1,1581.97
158031,1,1581.98
158032,1,1581.99
158033,1,1582.0
158034,1,1582.01
158035,1,1582.02
158036,1,1582.02
158037,1,1582.03
158038,1,1582.04
158039,1,1582.05
158040,1,1582.06
158041,1,1582.07
158042,1,1582.08
158043,1,1582.09
158044,1,1582.1
158045,1,1582.1
158046,1,1582.11
158047,1,1582.12
158048,1,1582.13
158049,1,1582.14
158050,1,1582.15
158051,1,1582.16
158052,1,1582.17
158053,1,1582.17
158054,1,1582.18
158055,1,1582.19
158056,1,1582.2
158057,1,1582.21
158058,1,1582.22
158059,1,1582.23
158060,1,1582.24
158061,1,1582.25
158062,1,1582.25
158063,1,1582.26
158064,1,1582.27
158065,1,1582.28
158066,1,1582.29
158067,1,1582.3
158068,1,1582.31
158069,1,1582.32
158070,1,1582.33
158071,1,1582.33
158072,1,1582.34
158073,1,1582.35
158074,1,1582.36
158075,1,1582.37
158076,1,1582.38
158077,1,1582.39
158078,1,1582.4
158079,1,1582.4
158080,1,1582.41
158081,1,1582.42
158082,1,1582.43
158083,1,1582.44
158084,1,1582.45
158085,1,1582.46
158086,1,1582.47
158087,1,1582.48
158088,1,1582.48
158089,1,1582.49
158090,1,1582.5
158091,1,1582.51
158092,1,1582.52
158093,1,1582.53
158094,1,1582.54
158095,1,1582.55
158096,1,1582.56
158097,1,1582.56
158098,1,1582.57
158099,1,1582.58
158100,1,1582.59
158101,1,1582.6
158102,1,1582.61
158103,1,1582.62
158104,1,1582.63
158105,1,1582.63
158106,1,1582.64
158107,1,1582.65
158108,1,1582.66
158109,1,1582.67
158110,1,1582.68
158111,1,1582.69
158112,1,1582.7
158113,1,1582.71
158114,1,1582.71
158115,1,1582.72
158116,1,1582.73
158117,1,1582.74
158118,1,1582.75
158119,1,1582.76
158120,1,1582.77
158121,1,1582.78
158122,1,1582.78
158123,1,1582.79
158124,1,1582.8
158125,1,1582.81
158126,1,1582.82
158127,1,1582.83
158128,1,1582.84
158129,1,1582.85
158130,1,1582.86
158131,1,1582.86
158132,1,1582.87
158133,1,1582.88
158134,1,1582.89
158135,1,1582.9
158136,1,1582.91
158137,1,1582.92
158138,1,1582.93
158139,1,1582.94
158140,1,1582.94
158141,1,1582.95
158142,1,1582.96
158143,1,1582.97
158144,1,1582.98
158145,1,1582.99
158146,1,1583.0
158147,1,1583.01
158148,1,1583.01
158149,1,1583.02
158150,1,1583.03
158151,1,1583.04
158152,1,1583.05
158153,1,1583.06
158154,1,1583.07
158155,1,1583.08
158156,1,1583.09
158157,1,1583.09
158158,1,1583.1
158159,1,1583.11
158160,1,1583.12
158161,1,1583.13
158162,1,1583.14
158163,1,1583.15
158164,1,1583.16
158165,1,1583.16
158166,1,1583.17
158167,1,1583.18
158168,1,1583.19
158169,1,1583.2
158170,1,1583.21
158171,1,1583.22
158172,1,1583.23
158173,1,1583.24
158174,1,1583.24
158175,1,1583.25
158176,1,1583.26
158177,1,1583.27
158178,1,1583.28
158179,1,1583.29
158180,1,1583.3
158181,1,1583.31
158182,1,1583.31
158183,1,1583.32
158184,1,1583.33
158185,1,1583.34
158186,1,1583.35
158187,1,1583.36
158188,1,1583.37
158189,1,1583.38
158190,1,1583.39
158191,1,1583.39
158192,1,1583.4
158193,1,1583.41
158194,1,1583.42
158195,1,1583.43
158196,1,1583.44
158197,1,1583.45
158198,1,1583.46
158199,1,1583.46
158200,1,1583.47
158201,1,1583.48
158202,1,1583.49
158203,1,1583.5
158204,1,1583.51
158205,1,1583.52
158206,1,1583.53
158207,1,1583.54
158208,1,1583.54
158209,1,1583.55
158210,1,1583.56
158211,1,1583.57
158212,1,1583.58
158213,1,1583.59
158214,1,1583.6
158215,1,1583.61
158216,1,1583.61
158217,1,1583.62
158218,1,1583.63
158219,1,1583.64
158220,1,1583.65
158221,1,1583.66
158222,1,1583.67
158223,1,1583.68
158224,1,1583.69
158225,1,1583.69
158226,1,1583.7
158227,1,1583.71
158228,1,1583.72
158229,1,1583.73
158230,1,1583.74
158231,1,1583.75
158232,1,1583.76
158233,1,1583.77
158234,1,1583.77
158235,1,1583.78
158236,1,1583.79
158237,1,1583.8
158238,1,1583.81
158239,1,1583.82
158240,1,1583.83
158241,1,1583.84
158242,1,1583.84
158243,1,1583.85
158244,1,1583.86
158245,1,1583.87
158246,1,1583.88
158247,1,1583.89
158248,1,1583.9
158249,1,1583.91
158250,1,1583.92
158251,1,1583.92
158252,1,1583.93
158253,1,1583.94
158254,1,1583.95
158255,1,1583.96
158256,1,1583.97
158257,1,1583.98
158258,1,1583.99
158259,1,1583.99
158260,1,1584.0
158261,1,1584.01
158262,1,1584.02
158263,1,1584.03
158264,1,1584.04
158265,1,1584.05
158266,1,1584.06
158267,1,1584.07
158268,1,1584.07
158269,1,1584.08
158270,1,1584.09
158271,1,1584.1
158272,1,1584.11
158273,1,1584.12
158274,1,1584.13
158275,1,1584.14
158276,1,1584.15
158277,1,1584.15
158278,1,1584.16
158279,1,1584.17
158280,1,1584.18
158281,1,1584.19
158282,1,1584.2
158283,1,1584.21
158284,1,1584.22
158285,1,1584.22
158286,1,1584.23
158287,1,1584.24
158288,1,1584.25
158289,1,1584.26
158290,1,1584.27
158291,1,1584.28
158292,1,1584.29
158293,1,1584.3
158294,1,1584.3
158295,1,1584.31
158296,1,1584.32
158297,1,1584.33
158298,1,1584.34
158299,1,1584.35
158300,1,1584.36
158301,1,1584.37
158302,1,1584.38
158303,1,1584.38
158304,1,1584.39
158305,1,1584.4
158306,1,1584.41
158307,1,1584.42
158308,1,1584.43
158309,1,1584.44
158310,1,1584.45
158311,1,1584.45
158312,1,1584.46
158313,1,1584.47
158314,1,1584.48
158315,1,1584.49
158316,1,1584.5
158317,1,1584.51
158318,1,1584.52
158319,1,1584.53
158320,1,1584.53
158321,1,1584.54
158322,1,1584.55
158323,1,1584.56
158324,1,1584.57
158325,1,1584.58
158326,1,1584.59
158327,1,1584.6
158328,1,1584.61
158329,1,1584.61
158330,1,1584.62
158331,1,1584.63
158332,1,1584.64
158333,1,1584.65
158334,1,1584.66
158335,1,1584.67
158336,1,1584.68
158337,1,1584.69
158338,1,1584.69
158339,1,1584.7
158340,1,1584.71
158341,1,1584.72
158342,1,1584.73
158343,1,1584.74
158344,1,1584.75
158345,1,1584.76
158346,1,1584.76
158347,1,1584.77
158348,1,1584.78
158349,1,1584.79
158350,1,1584.8
158351,1,1584.81
158352,1,1584.82
158353,1,1584.83
158354,1,1584.84
158355,1,1584.84
158356,1,1584.85
158357,1,1584.86
158358,1,1584.87
158359,1,1584.88
158360,1,1584.89
158361,1,1584.9
158362,1,1584.91
158363,1,1584.92
158364,1,1584.92
158365,1,1584.93
158366,1,1584.94
158367,1,1584.95
158368,1,1584.96
158369,1,1584.97
158370,1,1584.98
158371,1,1584.99
158372,1,1585.0
158373,1,1585.0
158374,1,1585.01
158375,1,1585.02
158376,1,1585.03
158377,1,1585.04
158378,1,1585.05
158379,1,1585.06
158380,1,1585.07
158381,1,1585.08
158382,1,1585.08
158383,1,1585.09
158384,1,1585.1
158385,1,1585.11
158386,1,1585.12
158387,1,1585.13
158388,1,1585.14
158389,1,1585.15
158390,1,1585.16
158391,1,1585.16
158392,1,1585.17
158393,1,1585.18
158394,1,1585.19
158395,1,1585.2
158396,1,1585.21
158397,1,1585.22
158398,1,1585.23
158399,1,1585.24
158400,1,1585.24
158401,1,1585.25
158402,1,1585.26
158403,1,1585.27
158404,1,1585.28
158405,1,1585.29
158406,1,1585.3
158407,1,1585.31
158408,1,1585.32
158409,1,1585.32
158410,1,1585.33
158411,1,1585.34
158412,1,1585.35
158413,1,1585.36
158414,1,1585.37
158415,1,1585.38
158416,1,1585.39
158417,1,1585.4
158418,1,1585.4
158419,1,1585.41
158420,1,1585.42
158421,1,1585.43
158422,1,1585.44
158423,1,1585.45
158424,1,1585.46
158425,1,1585.47
158426,1,1585.48
158427,1,1585.48
158428,1,1585.49
158429,1,1585.5
158430,1,1585.51
158431,1,1585.52
158432,1,1585.53
158433,1,1585.54
158434,1,1585.55
158435,1,1585.56
158436,1,1585.57
158437,1,1585.57
158438,1,1585.58
158439,1,1585.59
158440,1,1585.6
158441,1,1585.61
158442,1,1585.62
158443,1,1585.63
158444,1,1585.64
158445,1,1585.65
158446,1,1585.65
158447,1,1585.66
158448,1,1585.67
158449,1,1585.68
158450,1,1585.69
158451,1,1585.7
158452,1,1585.71
158453,1,1585.72
158454,1,1585.73
158455,1,1585.73
158456,1,1585.74
158457,1,1585.75
158458,1,1585.76
158459,1,1585.77
158460,1,1585.78
158461,1,1585.79
158462,1,1585.8
158463,1,1585.81
158464,1,1585.81
158465,1,1585.82
158466,1,1585.83
158467,1,1585.84
158468,1,1585.85
158469,1,1585.86
158470,1,1585.87
158471,1,1585.88
158472,1,1585.89
158473,1,1585.9
158474,1,1585.9
158475,1,1585.91
158476,1,1585.92
158477,1,1585.93
158478,1,1585.94
158479,1,1585.95
158480,1,1585.96
158481,1,1585.97
158482,1,1585.98
158483,1,1585.98
158484,1,1585.99
158485,1,1586.0
158486,1,1586.01
158487,1,1586.02
158488,1,1586.03
158489,1,1586.04
158490,1,1586.05
158491,1,1586.06
158492,1,1586.07
158493,1,1586.07
158494,1,1586.08
158495,1,1586.09
158496,1,1586.1
158497,1,1586.11
